value,date,id
1.0,2015-07-10 00:00:00,HF00000WRX
1.0002,2015-07-13 00:00:00,HF00000WRX
1.0002,2015-07-14 00:00:00,HF00000WRX
1.0003,2015-07-15 00:00:00,HF00000WRX
1.0003,2015-07-16 00:00:00,HF00000WRX
1.0004,2015-07-17 00:00:00,HF00000WRX
1.0005,2015-07-20 00:00:00,HF00000WRX
1.0005,2015-07-21 00:00:00,HF00000WRX
1.0006,2015-07-22 00:00:00,HF00000WRX
1.0006,2015-07-23 00:00:00,HF00000WRX
1.0007,2015-07-24 00:00:00,HF00000WRX
1.0008,2015-07-27 00:00:00,HF00000WRX
1.0009,2015-07-28 00:00:00,HF00000WRX
1.0009,2015-07-29 00:00:00,HF00000WRX
1.0009,2015-07-30 00:00:00,HF00000WRX
1.001,2015-07-31 00:00:00,HF00000WRX
1.0011,2015-08-03 00:00:00,HF00000WRX
